,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950,3470,3902,1578,1632,2697,1356,3265,2348,2531,1617,1278,1176,546,1226,1007,2506,1490,2175,2410,1070,405,1479,920,527,2139,526,2109,693,1457,1061,2292,419,393
Seg_Pct,100%,39%,44%,18%,18%,30%,15%,36%,26%,28%,18%,14%,13%,6%,14%,11%,28%,17%,24%,27%,12%,5%,17%,10%,6%,24%,6%,24%,8%,16%,12%,26%,5%,4%
BALANCE,1452,1132.14,1075.88,3087.69,1069.87,1169.42,3229.63,1139.24,1223.24,937.46,1070.42,3288.31,1548.26,245.46,3341.02,1894.19,916.41,1152.14,1309.52,853.47,3221.56,3468.41,1134.69,1654.79,229.12,1294.53,549.87,1301.05,2244.55,1145.03,3236.64,804.04,242.09,3469.92
BALANCE_FREQUENCY,0.88,0.94,0.82,0.93,0.83,0.82,0.93,0.94,0.82,0.93,0.83,0.93,0.93,0.59,0.94,0.98,0.93,0.85,0.85,0.93,0.93,0.98,0.85,0.98,0.58,0.85,0.89,0.85,0.99,0.85,0.94,0.93,0.55,0.98
PURCHASES,823.86,1501.13,392.23,401.89,714.63,230.34,436.27,1529.71,163.42,878.04,688.62,409.77,2661.87,1153.97,375.88,2826.08,879.42,609.03,149.68,869.10,185.72,1642.15,610.41,2815.66,1119.38,155.28,2751.37,153.64,2368.47,611.05,184.10,821.03,847.01,1625.09
ONEOFF_PURCHASES,447.95,692.50,309.14,253.44,664.90,99.24,271.65,700.77,78.14,318.35,647.20,256.12,1399.73,689.06,237.91,1499.22,320.64,584.75,72.06,315.76,148.45,845.18,586.85,1486.28,665.49,75.27,1483.61,75.72,1178.06,587.13,147.85,289.65,595.83,831.64
INSTALLMENTS_PURCHASES,336.34,735.44,63.45,133.51,0.00,124.38,148.80,757.42,81.73,532.95,0.00,137.91,1099.63,316.83,124.03,1179.95,531.71,0.00,75.63,526.27,33.08,732.23,0.00,1173.85,309.67,77.98,1081.56,75.87,1061.93,0.00,32.02,507.72,147.86,727.10
CASH_ADVANCE,817.16,243.79,366.36,3192.72,316.05,514.16,3407.43,242.16,603.09,205.15,317.68,3464.26,371.84,557.95,3447.56,472.11,202.51,334.58,598.08,139.22,3356.92,3125.92,317.64,169.33,517.00,571.36,96.36,571.29,242.88,311.88,3352.51,135.26,748.97,3192.04
PURCHASES_FREQUENCY,0.49,0.90,0.23,0.23,0.33,0.19,0.25,0.92,0.13,0.84,0.32,0.24,0.95,0.45,0.23,0.98,0.85,0.32,0.13,0.84,0.10,0.88,0.32,0.98,0.44,0.13,0.95,0.13,0.98,0.32,0.10,0.83,0.26,0.87
ONEOFF_PURCHASES_FREQUENCY,0.20,0.30,0.15,0.12,0.33,0.04,0.12,0.30,0.03,0.16,0.32,0.12,0.55,0.20,0.11,0.59,0.17,0.32,0.03,0.16,0.07,0.34,0.32,0.60,0.20,0.03,0.57,0.03,0.50,0.32,0.07,0.15,0.17,0.34
PURCHASES_INSTALLMENTS_FREQUENCY,0.36,0.79,0.08,0.14,0.00,0.15,0.16,0.81,0.09,0.74,0.00,0.15,0.83,0.27,0.14,0.88,0.74,0.00,0.09,0.74,0.03,0.74,0.00,0.87,0.26,0.10,0.80,0.09,0.88,0.00,0.03,0.73,0.10,0.73
CASH_ADVANCE_FREQUENCY,0.13,0.05,0.09,0.40,0.07,0.11,0.42,0.05,0.13,0.04,0.07,0.42,0.06,0.06,0.43,0.08,0.04,0.07,0.13,0.03,0.42,0.42,0.07,0.04,0.06,0.13,0.02,0.13,0.05,0.07,0.42,0.03,0.08,0.43
CASH_ADVANCE_TRX,2.73,0.90,1.39,10.08,1.21,1.87,10.70,0.90,2.18,0.78,1.21,10.84,1.31,1.09,10.97,1.71,0.75,1.29,2.24,0.53,10.46,10.86,1.24,0.64,1.01,2.17,0.32,2.18,0.91,1.22,10.47,0.53,1.50,11.04
PURCHASES_TRX,12.68,25.56,4.08,5.65,6.76,3.19,6.13,26.21,2.14,15.81,6.38,5.70,43.28,9.68,5.16,48.44,15.71,6.15,2.12,15.51,2.00,27.59,6.16,48.04,9.25,2.18,37.58,2.15,46.27,6.19,1.98,14.44,5.54,27.02
CREDIT_LIMIT,4366.50035,4539.03,3601.01,5879.98,4113.53,3370.12,6165.30,4568.92,3326.73,3697.09,4097.21,6234.86,6223.07,4581.06,6215.21,6523.63,3710.54,3982.00,3291.02,3654.41,5981.17,6638.52,3970.58,6386.09,4554.95,3289.61,5980.76,3280.62,5870.71,3972.81,5973.75,3606.70,4598.22,6685.37
PAYMENTS,1479.58,1673.02,961.36,2335.63,1152.83,916.46,2477.73,1693.51,942.04,986.26,1121.58,2485.31,3013.83,2720.20,2389.10,3132.28,996.62,927.00,825.28,960.84,2272.36,2992.14,921.75,2997.27,2685.68,816.85,3374.49,809.04,2174.45,908.87,2251.58,937.06,2854.08,3046.64
MINIMUM_PAYMENTS,618.36,564.50,471.28,1100.51,465.84,505.60,1154.30,565.17,501.95,535.84,466.28,1181.96,625.05,132.80,1194.31,775.42,523.76,495.88,535.80,502.73,1124.82,1368.38,491.41,680.74,129.57,534.68,210.10,535.95,959.26,495.60,1131.34,485.39,139.73,1361.97
PRC_FULL_PAYMENT,0.15,0.26,0.10,0.04,0.11,0.11,0.05,0.26,0.09,0.23,0.10,0.05,0.30,0.32,0.04,0.27,0.24,0.08,0.07,0.24,0.04,0.05,0.09,0.30,0.32,0.07,0.50,0.07,0.11,0.08,0.04,0.25,0.30,0.05
TENURE,11.58,11.68,11.63,11.27,11.58,11.64,11.25,11.68,11.62,11.59,11.58,11.25,11.89,11.50,11.24,11.93,11.59,11.58,11.63,11.59,11.22,11.50,11.59,11.93,11.50,11.65,11.82,11.65,11.94,11.59,11.22,11.57,11.45,11.48
MONTHLY_AVG_PURCHASE,71.03,128.34,34.26,35.93,62.91,19.67,39.05,130.80,13.91,76.16,60.74,36.85,225.33,99.81,33.87,238.82,76.21,53.98,12.78,75.34,17.07,142.37,54.07,237.87,96.92,13.25,233.78,13.10,199.83,54.13,16.83,71.50,73.03,141.07
MONTHLY_AVG_CASH_ADVANCE,73.64,21.18,32.29,291.24,28.25,45.43,311.11,21.00,53.38,18.34,28.41,316.37,31.50,50.30,314.93,40.36,18.14,29.81,52.86,12.49,307.55,279.21,28.26,14.16,46.56,50.22,8.05,50.22,20.30,27.66,307.06,12.26,68.02,285.27
LIMIT_USAGE,0.38,0.29,0.39,0.58,0.35,0.42,0.58,0.29,0.44,0.31,0.35,0.59,0.26,0.06,0.60,0.33,0.30,0.38,0.47,0.29,0.59,0.59,0.37,0.30,0.06,0.47,0.09,0.47,0.44,0.38,0.60,0.28,0.06,0.59
PAYMENT_MINPAYMENT,4.84,6.17,4.03,3.89,4.81,3.51,4.07,6.26,3.69,3.36,4.70,3.94,11.47,20.49,3.46,9.28,3.42,3.20,2.37,3.44,3.46,4.10,3.22,9.68,20.63,2.37,18.51,2.31,3.89,3.07,3.33,3.43,20.21,4.20
PURCHASE_TYPE_NONE,23%,0%,31%,53%,0%,50%,52%,0%,59%,0%,0%,51%,0%,20%,52%,0%,0%,0%,59%,0%,64%,0%,0%,0%,21%,58%,0%,59%,0%,0%,64%,0%,30%,0%
PURCHASE_TYPE_ONEOFF_INSTALLMENT,31%,58%,12%,19%,0%,21%,21%,59%,17%,46%,0%,20%,83%,25%,20%,89%,46%,0%,16%,45%,8%,76%,0%,89%,24%,17%,78%,17%,84%,0%,8%,43%,16%,76%
PURCHASE_TYPE_ONE_OFF,21%,1%,40%,19%,100%,0%,18%,0%,0%,0%,100%,19%,2%,27%,19%,1%,0%,100%,0%,0%,22%,1%,100%,1%,28%,0%,2%,0%,1%,100%,23%,0%,37%,1%
